Timestamp,Sensor,X,Y,Z
73991.398907084,Accelerometer,-1.08,8.53,4.21
73991.59145125,Accelerometer,-1.11,8.56,4.53
73991.783995521,Accelerometer,-1.05,8.58,4.26
73991.976539688,Accelerometer,-1.31,8.36,4.67
73992.169083855,Accelerometer,-1.18,8.49,4.62
73992.361628021,Accelerometer,-1.1,8.52,4.4
73992.554172292,Accelerometer,-1.11,8.49,4.53
73992.746716459,Accelerometer,-1.09,8.53,4.56
73992.93926073,Accelerometer,-1.11,8.51,4.42
73993.131805,Accelerometer,-1.12,8.51,4.44
73993.324349167,Accelerometer,-1.08,8.54,4.45
73993.516893438,Accelerometer,-1.1,8.5,4.47
73993.709437709,Accelerometer,-1.22,8.4,4.73
73993.90198198,Accelerometer,-1.27,8.36,4.73
73994.09452625,Accelerometer,-1.22,8.42,4.66
73994.287070521,Accelerometer,-1.25,8.39,4.63
73994.479614792,Accelerometer,-1.24,8.41,4.69
73994.672159063,Accelerometer,-1.23,8.43,4.6
73994.864703334,Accelerometer,-1.24,8.43,4.6
73995.057247605,Accelerometer,-1.23,8.44,4.58
73995.24979198,Accelerometer,-1.23,8.44,4.61
73995.44233625,Accelerometer,-1.23,8.45,4.61
73995.634880521,Accelerometer,-1.24,8.43,4.53
73995.827424896,Accelerometer,-1.26,8.44,4.6
73996.019969271,Accelerometer,-1.26,8.45,4.55
73996.212513542,Accelerometer,-1.25,8.45,4.58
73996.405057917,Accelerometer,-1.27,8.45,4.54
73996.597602292,Accelerometer,-1.27,8.46,4.57
73996.790146667,Accelerometer,-1.28,8.45,4.5
73996.982691042,Accelerometer,-1.25,8.47,4.56
73997.175235417,Accelerometer,-1.27,8.47,4.52
73997.367779688,Accelerometer,-1.26,8.47,4.5
73997.560324167,Accelerometer,-1.29,8.48,4.51
73997.752868542,Accelerometer,-1.3,8.48,4.45
73997.945412917,Accelerometer,-1.27,8.49,4.56
73998.137957396,Accelerometer,-1.3,8.48,4.38
73998.330501771,Accelerometer,-1.28,8.51,4.54
73998.523046146,Accelerometer,-1.3,8.49,4.4
73998.715590625,Accelerometer,-1.27,8.51,4.47
73998.908135,Accelerometer,-1.27,8.5,4.49
73999.10067948,Accelerometer,-1.27,8.5,4.45
73999.293223959,Accelerometer,-1.27,8.5,4.46
73999.481890678,Accelerometer,-1.25,8.5,4.46
73999.675499167,Accelerometer,-1.27,8.51,4.42
73999.869097709,Accelerometer,-1.27,8.5,4.44
74000.062696511,Accelerometer,-1.26,8.51,4.5
74000.25629625,Accelerometer,-1.24,8.5,4.41
74000.449903021,Accelerometer,-1.25,8.53,4.43
74000.643488178,Accelerometer,-1.37,8.46,4.34
74000.837071615,Accelerometer,-1.17,8.56,4.34
74001.030668803,Accelerometer,-1.08,8.6,4.44
74001.224271303,Accelerometer,-1.03,8.61,4.3
74001.417870782,Accelerometer,-1.15,8.55,4.34
74001.611480053,Accelerometer,-1.23,8.51,4.42
74001.805079844,Accelerometer,-1.12,8.56,4.42
